,Despesas Orçamentárias,DOTAÇÃO INICIAL (d),DOTAÇÃO ATUALIZADA (e),DESPESAS EMPENHADAS NO BIMESTRE,DESPESAS EMPENHADAS ATÉ O BIMESTRE (f),% (b/total b),SALDO (g) =(e-f),DESPESAS LIQUIDADAS NO BIMESTRE,DESPESAS LIQUIDADAS ATÉ O BIMESTRE (h),% (d/total d),SALDO (i) = (e-h),Bimestre,Ano,tempo,base = ultimo periodo
fevereiro 2018,Patrimônio Histórico Artístico e Arqueológico,0.8439197611142584,0.8439197611142584,0.02600848181119329,0.02600848181119329,0.0,726886.0,0.0009836278645008534,0.0009836278645008534,0.0,749125.84,1,2018,2018-02-20,88.87100818799969
abril 2018,Patrimônio Histórico Artístico e Arqueológico,0.8413052808159311,0.8413052808159311,0.0018126202710272842,0.02774052728539986,0.0,725270.1,0.017800909219094427,0.0187814897847985,0.0,733256.83,2,2018,2018-04-20,89.14718795924118
junho 2018,Patrimônio Histórico Artístico e Arqueológico,0.82738201494054,0.82738201494054,0.02525293465312759,0.052534367308165006,0.0,702378.98,0.01698648371953526,0.035457147360991266,0.0,717859.03,3,2018,2018-06-20,90.64736560099134
agosto 2018,Patrimônio Histórico Artístico e Arqueológico,0.8253938407800983,0.8253938407800983,0.08352603786477591,0.13593416666433045,0.01,626482.45,0.05317181619679787,0.08854376109639508,0.01,669544.08,4,2018,2018-08-20,90.86571318380062
outubro 2018,Patrimônio Histórico Artístico e Arqueológico,0.8177355065678041,0.8177355065678041,0.02420916870334072,0.1588820837956928,0.01,604278.6,0.039314760590564254,0.12703697725400256,0.01,633485.88,5,2018,2018-10-20,91.71669738885336
dezembro 2018,Patrimônio Histórico Artístico e Arqueológico,0.8182235720048991,0.8182235720048991,0.04080190756961561,0.1997788201370219,0.01,566878.76,0.0635961107542996,0.19070891002817625,0.01,575192.42,6,2018,2018-12-20,91.66198893076003
fevereiro 2019,Patrimônio Histórico Artístico e Arqueológico,1.1607589614095208,1.1607589614095208,0.06779016410213168,0.06779016410213168,0.01,1009393.5,0.007594178881218699,0.007594178881218699,0.0,1064986.52,1,2019,2019-02-20,92.35336841149692
abril 2019,Patrimônio Histórico Artístico e Arqueológico,1.1454865655645152,1.1454865655645152,0.17543007073919673,0.24232830270469563,0.02,845217.82,0.03152580984553781,0.039020070216671594,0.01,1035483.19,2,2019,2019-04-20,93.584685514989
junho 2019,Patrimônio Histórico Artístico e Arqueológico,1.1438830332859784,1.1438830332859784,0.03148790941170858,0.273476983995297,0.02,815708.65,0.09950277841941621,0.1384682256103936,0.02,942233.29,3,2019,2019-06-20,93.71587555770597
agosto 2019,Patrimônio Histórico Artístico e Arqueológico,1.1404537749016601,1.1734333150340774,0.12906236640255164,0.4017194910127593,0.03,725393.03,0.12475931303024847,0.2628124233624024,0.02,855962.44,4,2019,2019-08-20,93.99767211892802
outubro 2019,Patrimônio Histórico Artístico e Arqueológico,1.1397690464552093,1.1727287856717312,0.14354465077753117,0.5450229494078864,0.03,590383.34,0.06961295744182121,0.3322675882252369,0.02,790488.57,5,2019,2019-10-20,94.05414222592046
dezembro 2019,Patrimônio Histórico Artístico e Arqueológico,1.1209157277386275,0.9717799186858687,0.06050707280854484,0.5965146068522432,0.03,358889.08,0.14865311471750145,0.4754245484722488,0.03,474694.88,6,2019,2019-12-20,95.63609230130871
fevereiro 2020,Patrimônio Histórico Artístico e Arqueológico,1.2937466347452058,1.2937466347452058,0.07907196246198485,0.07907196246198485,0.01,1167029.6,0.010961437497092871,0.010961437497092871,0.0,1232468.52,1,2020,2020-02-20,96.07754459935659
abril 2020,Patrimônio Histórico Artístico e Arqueológico,1.2968488192383971,1.2968488192383971,0.2646172127191908,0.34387877630492597,0.03,913400.04,0.015472960962782514,0.026460682123549042,0.0,1217638.04,2,2020,2020-04-20,95.84771806554745
junho 2020,Patrimônio Histórico Artístico e Arqueológico,1.298392224955149,1.8206738922741954,0.011741936444666798,0.3560299697588487,0.03,1402159.04,0.1060470989661296,0.13253927247668754,0.02,1616115.14,3,2020,2020-06-20,95.73378337527687
agosto 2020,Patrimônio Histórico Artístico e Arqueológico,1.2906130897142416,1.8097655795429795,0.024137060540105462,0.37803392657933976,0.03,1378912.44,0.18979126884519967,0.32153645082634125,0.03,1433325.62,4,2020,2020-08-20,96.3108161467056
outubro 2020,Patrimônio Histórico Artístico e Arqueológico,1.271324928712986,1.4088898546276252,0.48844719012899546,0.860831414796964,0.05,535847.78,0.026754485933423788,0.3434855873636234,0.03,1041667.22,5,2020,2020-10-20,97.77201500000001
fevereiro 2018,Difusão Cultural,7.2565847192344695,7.369107354049704,2.024167382229502,2.024167382229502,0.25,4750102.04,0.3989828147891757,0.3989828147891757,0.18,6194419.95,1,2018,2018-02-20,88.87100818799969
